DATE,TX,TN,TA,PP,SF,SD,PPM,XW,XP
8/1/2012,82,61,66,0.17,0.0,0,-9999,03,6
8/2/2012,83,66,69,0.05,0.0,0,-9999,03,8
8/3/2012,88,65,66,0.14,0.0,0,-9999,03,2
8/4/2012,90,66,69,0.00,0.0,0,-9999,01,0
8/5/2012,90,66,70,0.04,0.0,0,-9999,10,4
8/6/2012,90,69,70,0.35,0.0,0,-9999,01,0
8/7/2012,81,56,57,0.00,0.0,0,-9999,02,1
8/8/2012,83,57,60,0.00,0.0,0,-9999,01,0
8/9/2012,89,60,65,0.00,0.0,0,-9999,01,0
8/10/2012,90,65,71,0,0.0,0,-9999,02,1
8/11/2012,85,66,68,0.56,0.0,0,-9999,03,2
8/12/2012,81,68,70,0.38,0.0,0,-9999,03,4
8/13/2012,83,62,63,0.32,0.0,0,-9999,10,4
8/14/2012,83,62,63,0.00,0.0,0,-9999,02,1
8/15/2012,84,63,65,0.00,0.0,0,-9999,03,2
8/16/2012,82,64,64,2.15,0.0,0,-9999,-1,-1
8/17/2012,81,59,59,0.01,0.0,0,-9999,03,2
8/18/2012,85,59,64,0.39,0.0,0,-9999,03,2
8/19/2012,78,54,54,0.00,0.0,0,-9999,01,0
8/20/2012,76,54,54,0.00,0.0,0,-9999,01,0
8/21/2012,80,54,64,0.00,0.0,0,-9999,03,2
8/22/2012,75,54,57,0.00,0.0,0,-9999,02,0
8/23/2012,82,57,58,0.00,0.0,0,-9999,01,0
8/24/2012,84,57,61,0.00,0.0,0,-9999,02,1
8/25/2012,84,61,65,0.00,0.0,0,-9999,45,4
8/26/2012,79,56,64,0.00,0.0,0,-9999,01,0
8/27/2012,83,59,60,0.00,0.0,0,-9999,01,0
8/28/2012,85,60,68,0.07,0.0,0,-9999,61,6
8/29/2012,81,55,55,0.42,0.0,0,-9999,01,0
8/30/2012,73,51,51,0.00,0.0,0,-9999,01,0
8/31/2012,80,51,57,0.00,0.0,0,-9999,01,0
